Country Name,Country Code,Land Area
Aruba,ABW,180.00
Africa Eastern and Southern,AFE,12116629.06
Afghanistan,AFG,652230.00
Africa Western and Central,AFW,9045953.69
Angola,AGO,1246700.00
Albania,ALB,27400.00
Andorra,AND,470.00
Arab World,ARB,11566129.20
United Arab Emirates,ARE,71020.00
Argentina,ARG,2736690.00
Armenia,ARM,28470.00
American Samoa,ASM,200.00
Antigua and Barbuda,ATG,440.00
Australia,AUS,7683397.42
Austria,AUT,82520.00
Azerbaijan,AZE,82773.16
Burundi,BDI,25680.00
Belgium,BEL,30367.96
Benin,BEN,112760.00
Burkina Faso,BFA,273600.00
Bangladesh,BGD,130170.00
Bulgaria,BGR,109943.39
Bahrain,BHR,717.74
"Bahamas, The",BHS,10010.00
Bosnia and Herzegovina,BIH,51200.00
Belarus,BLR,202901.61
Belize,BLZ,22810.00
Bermuda,BMU,54.00
Bolivia,BOL,1083300.00
Brazil,BRA,8358140.00
Barbados,BRB,430.00
Brunei Darussalam,BRN,5270.00
Bhutan,BTN,42971.79
Botswana,BWA,566730.00
Central African Republic,CAF,622980.00
Canada,CAN,8959883.87
Central Europe and the Baltics,CEB,918830.63
Switzerland,CHE,39522.99
Channel Islands,CHI,198.00
Chile,CHL,743532.00
China,CHN,9388234.26
Cote d'Ivoire,CIV,318000.00
Cameroon,CMR,472710.00
"Congo, Dem. Rep.",COD,2267050.00
"Congo, Rep.",COG,341500.00
Colombia,COL,1109500.00
Comoros,COM,1861.00
Cabo Verde,CPV,4030.00
Costa Rica,CRI,51060.00
Caribbean small states,CSS,393393.58
Cuba,CUB,106676.16
Curacao,CUW,444.00
Cayman Islands,CYM,240.00
Cyprus,CYP,9240.00
Czechia,CZE,77240.09
Germany,DEU,349052.58
Djibouti,DJI,23180.00
Dominica,DMA,750.00
Denmark,DNK,40000.00
Dominican Republic,DOM,48302.78
Algeria,DZA,2381740.13
East Asia & Pacific (excluding high income),EAP,15945742.93
Early-demographic dividend,EAR,32168500.67
East Asia & Pacific,EAS,24419390.67
Europe & Central Asia (excluding high income),ECA,3328455.92
Europe & Central Asia,ECS,16426876.14
Ecuador,ECU,265356.13
"Egypt, Arab Rep.",EGY,995450.00
Euro area,EMU,2567679.53
Eritrea,ERI,113700.39
Spain,ESP,499526.12
Estonia,EST,42598.39
Ethiopia,ETH,1081431.14
