Country Name,Country Code,Land Area
Aruba,ABW,180.0
Africa Eastern and Southern,AFE,12116629.060693549
Afghanistan,AFG,652230.0
Africa Western and Central,AFW,9045953.693548387
Angola,AGO,1246700.0
Albania,ALB,27400.0
Andorra,AND,470.0
Arab World,ARB,11566129.204983871
United Arab Emirates,ARE,71020.0
Argentina,ARG,2736690.0
Armenia,ARM,28470.0
American Samoa,ASM,200.0
Antigua and Barbuda,ATG,440.0
Australia,AUS,7683397.419354838
Austria,AUT,82520.0
Azerbaijan,AZE,82773.16129032258
Burundi,BDI,25680.0
Belgium,BEL,30367.956521739132
Benin,BEN,112760.0
Burkina Faso,BFA,273600.0
Bangladesh,BGD,130170.0
Bulgaria,BGR,109943.3870967742
Bahrain,BHR,717.741935483871
"Bahamas, The",BHS,10010.0
Bosnia and Herzegovina,BIH,51200.0
Belarus,BLR,202901.61290322582
Belize,BLZ,22810.0
Bermuda,BMU,54.0
Bolivia,BOL,1083300.0
Brazil,BRA,8358140.0
Barbados,BRB,430.0
Brunei Darussalam,BRN,5270.0
Bhutan,BTN,42971.790322580644
Botswana,BWA,566730.0
Central African Republic,CAF,622980.0
Canada,CAN,8959883.870967742
Central Europe and the Baltics,CEB,918830.6320967742
Switzerland,CHE,39522.98819354838
Channel Islands,CHI,198.0
Chile,CHL,743532.0
China,CHN,9388234.264516128
Cote d'Ivoire,CIV,318000.0
Cameroon,CMR,472710.0
"Congo, Dem. Rep.",COD,2267050.0
"Congo, Rep.",COG,341500.0
Colombia,COL,1109500.0
Comoros,COM,1861.0
Cabo Verde,CPV,4030.0
Costa Rica,CRI,51060.0
Caribbean small states,CSS,393393.5777419354
Cuba,CUB,106676.16129032258
Curacao,CUW,444.0
Cayman Islands,CYM,240.0
Cyprus,CYP,9240.0
Czechia,CZE,77240.08633333333
Germany,DEU,349052.5806451613
Djibouti,DJI,23180.0
Dominica,DMA,750.0
Denmark,DNK,40000.0
Dominican Republic,DOM,48302.775483870966
Algeria,DZA,2381740.129032258
East Asia & Pacific (excluding high income),EAP,15945742.93085484
Early-demographic dividend,EAR,32168500.67404839
East Asia & Pacific,EAS,24419390.67279032
Europe & Central Asia (excluding high income),ECA,3328455.9161290326
Europe & Central Asia,ECS,16426876.142112905
Ecuador,ECU,265356.12903225806
"Egypt, Arab Rep.",EGY,995450.0
Euro area,EMU,2567679.5260483874
Eritrea,ERI,113700.38543333333
Spain,ESP,499526.1199193548
Estonia,EST,42598.3870967742
Ethiopia,ETH,1081431.1400000001
European Union,EUU,3788783.7026612903
Fragile and conflict affected situations,FCS,17439879.717290323
Finland,FIN,304410.24838709674
Fiji,FJI,18270.0
France,FRA,547568.3064516129
Faroe Islands,FRO,1394.6774193548388
"Micronesia, Fed. Sts.",FSM,700.0
Gabon,GAB,257670.0
United Kingdom,GBR,241930.0
Georgia,GEO,69490.0
Ghana,GHA,227539.5
Gibraltar,GIB,10.0
Guinea,GIN,245720.0
"Gambia, The",GMB,10120.0
Guinea-Bissau,GNB,28120.0
Equatorial Guinea,GNQ,28050.0
Greece,GRC,128900.0
Grenada,GRD,340.0
Greenland,GRL,370530.6451612903
Guatemala,GTM,107160.0
Guam,GUM,540.0
Guyana,GUY,196818.38709677418
High income,HIC,43487790.1937258
"Hong Kong SAR, China",HKG,1024.9180327868853
Honduras,HND,111890.0
Heavily indebted poor countries (HIPC),HPC,17186240.915532257
Croatia,HRV,55949.16129032258
Haiti,HTI,27560.0
Hungary,HUN,90122.25806451614
IBRD only,IBD,60349804.123145156
IDA & IBRD total,IBT,82528219.60317741
IDA total,IDA,22178415.480032258
IDA blend,IDB,4361685.464838711
Indonesia,IDN,1836519.999032258
IDA only,IDX,17816730.015193548
Isle of Man,IMN,570.0
India,IND,2973190.0
Not classified,INX,
Ireland,IRL,68890.0
"Iran, Islamic Rep.",IRN,1628154.1935483871
Iraq,IRQ,436650.32258064515
Iceland,ISL,100296.7741935484
Israel,ISR,21640.0
Italy,ITA,294706.5
Jamaica,JAM,10830.0
Jordan,JOR,88362.83870967742
Japan,JPN,365285.48387096776
Kazakhstan,KAZ,2699700.0
Kenya,KEN,569140.0
Kyrgyz Republic,KGZ,191800.0
Cambodia,KHM,176520.0
Kiribati,KIR,810.0
St. Kitts and Nevis,KNA,287.5806451612903
"Korea, Rep.",KOR,96728.54838709677
Kuwait,KWT,17820.0
Latin America & Caribbean (excluding high income),LAC,17964193.353903223
Lao PDR,LAO,230800.0
Lebanon,LBN,10230.0
Liberia,LBR,96320.0
Libya,LBY,1759540.0
St. Lucia,LCA,610.0
Latin America & Caribbean,LCN,20063066.418419354
Least developed countries: UN classification,LDC,17632184.318758063
Low income,LIC,12017113.152774194
Liechtenstein,LIE,160.0
Sri Lanka,LKA,62602.05596774193
Lower middle income,LMC,17503802.238709677
Low & middle income,LMY,71818611.36124194
Lesotho,LSO,30360.0
Late-demographic dividend,LTE,34622807.53295161
Lithuania,LTU,62664.354838709674
Luxembourg,LUX,2574.46
Latvia,LVA,62227.290322580644
"Macao SAR, China",MAC,23.37704918032787
St. Martin (French part),MAF,50.0
